"Tipo ;URL"
"Normal;https://cdn.ligadegamers.com/imagenes/tipo-normal-pokemon.jpg"
"Lucha ;https://cdn.ligadegamers.com/imagenes/tipo-lucha-pokemon.jpg"
"Volador;https://cdn.ligadegamers.com/imagenes/tipo-volador-pokemon.jpg"
"Veneno;https://cdn.ligadegamers.com/imagenes/tipo-veneno-pokemon.jpg"
"Tierra ;https://cdn.ligadegamers.com/imagenes/tipo-tierra-pokemon.jpg"
"Roca ;https://cdn.ligadegamers.com/imagenes/tipo-roca-pokemon.jpg"
"Bicho;https://cdn.ligadegamers.com/imagenes/tipo-bicho-pokemon.jpg"
"Fantasma;https://cdn.ligadegamers.com/imagenes/tipo-fantasma-pokemon.jpg"
"Acero;https://cdn.ligadegamers.com/imagenes/tipo-acero-pokemon.jpg"
"Fuego;https://cdn.ligadegamers.com/imagenes/tipo-fuego-pokemon.jpg"
"Agua;https://cdn.ligadegamers.com/imagenes/tipo-agua-pokemon.jpg"
"Planata;https://cdn.ligadegamers.com/imagenes/tipo-planta-pokemon.jpg"
"Electrico;https://cdn.ligadegamers.com/imagenes/tipo-electrico-pokemon.jpg"
"Psiquico;https://cdn.ligadegamers.com/imagenes/tipo-psiquico-pokemon.jpg"
"Hielo;https://cdn.ligadegamers.com/imagenes/tipo-hielo-pokemon.jpg"
"Dragon;https://cdn.ligadegamers.com/imagenes/tipo-dragon-pokemon.jpg"
"Siniestro ;https://cdn.ligadegamers.com/imagenes/tipo-siniestro-pokemon.jpg"
"Hada;https://cdn.ligadegamers.com/imagenes/tipo-hada-pokemon.jpg"
